"Name","Total Time","Total Time (CPU)","Hits"
"                                chs.library.ui.LibraryPartSelectorView$7.mouseReleased ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                 chs.library.ui.LibraryPartBrowser.displayPopupMenu ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                  chs.caf.cafmain.actions.partbrowser.PartActionHandlerBase.displayPopupMenu ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                   chs.caf.cafmain.actions.partbrowser.PartActionHandlerBase.getActionContainer ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                    chs.caf.cafmain.actions.partbrowser.PartSelectDetailsAction.<init> ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                     chs.utilities.ResourceMgr.getStringForMenu ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                      chs.utilities.ResourceMgr.getRCString ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                       chs.utilities.ResourceMgr.getRCString ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                        chs.utilities.ResourceMgr.getPackageBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                         chs.utilities.ResourceMgr.createBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                          java.util.ResourceBundle.getBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                           java.util.ResourceBundle.getBundleImpl ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                            java.util.ResourceBundle.getBundleImpl ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                             java.util.ResourceBundle.getBundleImpl ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                              java.util.ResourceBundle.findBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                               java.util.ResourceBundle.loadBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                java.util.ResourceBundle$Control.newBundle ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                 java.security.AccessController.doPrivileged[native] ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                  java.util.ResourceBundle$Control$1.run ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                   java.util.ResourceBundle$Control$1.run ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                    java.lang.ClassLoader.getResource ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                     MGClassLoader.findResource ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                      MGClassLoader$JARReference.getResource ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
"                                                       java.net.URL.openStream ()","99.0 ms (-0%)","99.0 ms (-0%)","1"
